"intitule","lieuTravail.libelle","lieuTravail.codePostal","romeCode","typeContrat","salaire.libelle","dureeTravailLibelleConverti","experienceLibelle","formations.niveauLibelle","description"
"Assistant / Assistante technique d'ingénieur / d'ingénieure en études, recherche et développement en industrie (H/F)","37 - JOUE LES TOURS","37300","H1206","MIS","Mensuel de 1764,00 Euros à 2058,00 Euros","N/A","Expérience exigée de 1 An(s)","N/A","Description du poste : Que diriez-vous de jouer un rôle clé en tant qu'Assistant(e) technique (F/H) ? Nous recherchons un(e) professionnel(le) polyvalent(e) pour assurer diverses tâches administratives et logistiques afin de garantir le bon fonctionnement de notre client. - Accueil téléphonique et physique des clients, gestion et suivi des transporteurs - Organisation logistique des transporteurs, réservation d'hôtels, gestion des frais de déplacement, élaboration des devis et bons de commandes - Élaboration de contrats pour sous-traitants, saisie comptable sur ERP et gestion administrative du transport. Découvrez cette offre alléchante : - Contrat: Intérim avec possibilité de prolongation - Salaire: à déterminer selon profil - Horaires : 8h-12h / 14h-17h Nous sommes déterminés à offrir des avantages exceptionnels, y compris Fast TT, pour attirer et retenir les meilleurs talents intérimaires. Description du profil : Titulaire d'une formation en assistanat de gestion, type assistant de gestion PME/PMI (F/H), vous possédez une expérience réussie dans le secteur BTP. A compétences égales, ce poste est accessible aux personnes en situation de handicap."
"Assistant / Assistante technique d'ingénieur / d'ingénieure en études, recherche et développement en industrie (H/F)","94 - RUNGIS","94150","H1206","CDI","Annuel de 30000,00 Euros à 40000,00 Euros","N/A","Expérience exigée de 3 An(s)","N/A","Description du poste : Envie de rejoindre une entreprise dynamique et en plein essor dans le secteur du BTP ? Basée à Rungis, notre client, société spécialisée dans le bâtiment recherche un(e) Assistant(e) Technique en CDI pour renforcer son équipe. Vos missions principales Support technique et administratif : - Gestion des demandes d'agréments pour les projets. - Suivi des appels d'offres et préparation des dossiers de consultation (plateformes telles que Maximilien, marchés publics, etc.) - Gestion et suivi des contrats de sous-traitance, courriers et avenants. - Rédaction et élaboration des offres via des outils internes - Suivi des affaires à l'aide de logiciels collaboratifs Administration des ventes : - Préparation des situations mensuelles d'avancement - Suivi des recouvrements clients en lien direct avec la direction. Gestion de trésorerie : - Mise en place et suivi des cautions bancaires avec Atradius. Support à la direction: - Assister le chargé d'affaires dans la gestion quotidienne. - Réaliser diverses tâches administratives pour garantir le bon fonctionnement des opérations. Salaire proposé : 32KEUR à 38KEUR selon profil Description du profil : Pour le poste d'Assistant technique (h/f), nous recherchons un candidat possédant un niveau d'étude de Titre de niveau III - Bac +2 - BTS, DUT ou équivalent ainsi qu'une expérience significative dans le secteur du BTP ou en gestion administrative. Le candidat idéal devrait démontrer une solide compréhension des tâches techniques liées au poste, ainsi qu'une capacité à résoudre efficacement les problèmes rencontrés. Une bonne maîtrise des outils informatiques (Word, Excel, PowerPoint) et une aptitude à travailler en équipe sont également essentielles."
"Assistant / Assistante technique d'ingénieur / d'ingénieure en études, recherche et développement en industrie (H/F)","25 - DOUBS","25300","H1206","MIS","Mensuel de 1911,00 Euros","N/A","Expérience exigée de 1 An(s)","N/A","Description du poste : Voici les missions que vous réaliserez au quotidien : ¿ Identifier des solutions pour répondre aux problématiques de nos clients. ¿ Conseiller techniquement nos clients par mail et téléphone. ¿ Etablir des offres commerciales. ¿ Evaluer et documenter la compatibilité de nos produits. Horaires : 39 heures par semaine selon un planning à définir. Rémunération sur 13 mois + Intéressement / Participation + Mutuelle / Prévoyance + Indemnité de Fin de Carrière + Titres-Restaurant Description du profil : ¿ Vous disposez de connaissance en mécanique générale, filtration ou en mécanique des fluides. ¿ Vous possédez une expérience en tant que conseiller technique et/ou commercial. ¿ Vous êtes à l'aise avec l'informatique (Pack office, email, navigation internet). ¿ Vous êtes logique, vous savez travailler en équipe et aimez les challenges. ¿ La curiosité, l'implication et un bon relationnel client vous caractérisent."
"Assistant / Assistante technique d'ingénieur / d'ingénieure en études, recherche et développement en industrie (H/F)","77 - SAMOREAU","77210","H1206","CDI","Annuel de 29000,00 Euros à 30000,00 Euros","N/A","Expérience exigée de 1 An(s)","N/A","Description du poste : $Au sein du Service Administration des Ventes et sous la responsabilité de la Responable du Service Chiffrage, vous aurez pour principales missions de : * Chriffrer des cotations en provenance de la distribution : - gestion et analyse du popentiel des demandes entrantes; transfert aux responsables des ventes affaires (RVA) des affaires à fort potentiel, définition de l'offre produits adéquates, aux demandes de conventions, rédaction et envoi des offres de prix traitées en direct, suivi des offres de prix rédigées avec les distributeurs bénéficiaires.***Identifier et la créer des affaires dans le CRM : - Réception des projets contact Business pour sa région de référence et tri; transcription des projets""A"" dans le CRM des RVA; transmission aux RVA des autres projets de source Contact Business; liaison avec architectes/bureaux d'étude sur les projets""A"" suivis pour aider à la définition des élèments au CCTP(Technique), à l'identification des dates clés de l'affaire. Description du profil : Vous devez être titulaire d'un Bac à Bac+2 dans le domaine de la négociation ou des relations clients, vous disposez d'une expérience réussie de la relation client dans l'univers du Bâtiment avec une sensibilité technique (réponde à des SSTP, contact direct possible avecd les maîtres d'oeuvre) Une expérience acquise sur un poste similaire, chez un distributeur ou une grande entreprise de construction ou un fabriquant serait un plus. Vous avez de bonnes connaissances de l'outil informatique, notamment le Pack Office, Excel et avez déjà travaillé avec un CRM; La connaissance/ Maîtrise de SAP serait un plus; Vous êtes de nature rigoureux, organisé, curieux et vous avez le sens du commerce"
"Assistant / Assistante technique d'ingénieur / d'ingénieure en études, recherche et développement en industrie (H/F)","06 - MOUANS SARTOUX","06370","H1206","CDI","Mensuel de 2400,00 Euros à 2600,00 Euros","N/A","Expérience exigée de 1 An(s)","N/A","Description du poste : Assurer la collecte, l'analyse et la gestion des données réglementaires pour les produits de parfumerie conformément aux normes en vigueur. Contribuer à la préparation des dossiers réglementaires pour les autorisations, les enregistrements et les notifications nécessaires. Veiller à la conformité des produits aux réglementations locales et internationales en matière de parfumerie. Collaborer avec les équipes internes pour garantir l'exactitude des informations réglementaires sur les emballages, les étiquetages et la documentation technique. Effectuer une veille réglementaire et être en mesure de fournir des recommandations proactives pour s'adapter aux évolutions juridique Description du profil : Vous disposez d'une première expérience en affaires réglementaires idéalement dans le secteur de la parfumerie. Vous aimez travailler en équipe et vous avez des compétences analytiques et organisationnelles, un bon sens de la communication, de la rigueur. Si vous vous reconnaissez dans cette offre, contactez nous !"
"Assistant / Assistante technique d'ingénieur / d'ingénieure en études, recherche et développement en industrie (H/F)","92 - COURBEVOIE","92400","H1206","CDI","N/A","N/A","Expérience exigée de 1 An(s)","N/A","Description du poste : Esset Property Management, filiale du groupe Emeria, recrute ! Avec déjà 40 ans d'expérience et 600 collaborateurs sur le territoire. Acteur de référence de la gestion de patrimoine immobilier pour le compte de clients institutionnels, Esset Property Management intervient sur toutes les classes d'actifs et gère 19 millions de m² en immobilier d'entreprise et 20 000 lots en résidentiel. Rejoindre Esset PM, c'est :***Rejoindre une entreprise multi-métiers où il est possible d'évoluer et construire sa carrière. Tous nos postes sont ouverts aux salariés en situation de handicap. * S'inscrire dans un groupe leader, entrepreneur et expert * Travailler au cœur de la vie de tous, au plus près de ses clients * Être influenceur de la transition énergétique Vos futures missions et responsabilités En tant qu'Assistant·e technique vous assisterez les gestionnaires sur le suivi d'un portefeuille d'immeubles tertiaires pour le compte de tiers. Vos missions seront les suivantes : 1. Gestion technique et client***Suivi des contrats et gestion des interventions techniques : * Gestion des contrats des prestataires et mise à jour dans le logiciel * Etablissement et gestion des ordres de service * Mise à jour des informations techniques des immeubles : Demandes des justificatifs et collecte des informations auprès des différents interlocuteurs, suivi des contrôles réglementaires, mise à jour régulière de la documentation des immeubles * Suivi des visites techniques des immeubles : Assurer le planning annuel des visites d'immeubles, organisation et coordination des interventions correctrices 2. Gestion administrative***Saisie et suivi des budgets d'exploitation en collaboration avec le gestionnaire technique et le gérant de patrimoine * Réception et traitement des demandes de 1er niveau des locataires et des propriétaires * Participation à la préparation des rapports de gestion * Gestion des accès aux immeubles (badges, clés, .) Vous demain.***Localisation : 17 place des Reflets, Tour CB16, Courbevoie (92) * Technologies : Logiciel de gestion : ALTAIX * Avantages : 13ème mois, Intéressement, Mutuelle, RIE * Mission Handicap à disposition de tous nos salariés. La mobilité interne est dans l'ADN du groupe : vous pourrez évoluer dans le groupe partout en France. Description du profil :***Formation Bac+2 en gestion immobilière * Vous disposez d'une première d'expérience sur un poste similaire sur un patrimoine tertiaire * Bonne connaissance des outils bureautiques et d'ALTAIX * Vous êtes curieux, autonome et rigoureux * Travailler en équipe est essentiel pour vous. En rejoignant Esset PM, vous rejoignez une entreprise où vous pourrez vous développer avec les meilleurs experts. En un mot : Rejoignez-nous ! #LI-DNI"
"Assistant / Assistante technique d'ingénieur / d'ingénieure en études, recherche et développement en industrie (H/F)","59 - LA BASSEE","59480","H1206","CDI","N/A","N/A","Expérience exigée de 1 An(s)","N/A","Description du poste : ADECCO recrutement, acteur majeur pour l'emploi en CDD/CDI, recherche pour son partenaire, leader dans la production et la distribution de matériaux hydrauliques et industriels, son futur Assistant Technique (H/F) en CDI. Vos missions : Traiter les demandes clients. Etre l'interlocuteur avec la fabrication et le Bureau d'Etudes du groupe. Assister le Responsable Technique Activités : Définir les nomenclatures des produits spéciaux Approvisionner les composants Faire des offres techniques et commerciales Analyser les problèmes techniques Description du profil : De formation supérieure de type Bac+2 à Bac +3 sur une spécialité Technique industrielle, vous possédez une première expérience probante sur un poste similaire. Vous êtes Rigoureux.se, organisé.e et autonome. Vous avez de très bonnes capacités relationnelles, d'analyse et d'animation. Des essais terrains sont à prévoir. (manipulation et réalisation) - Votre lecture de plans de Norme NF/ISO est un plus. Votre niveau d'Anglais est de niveau B2 (Intermédiaire) - Lu et écrit : bon niveau et se débrouiller à l'oral. Tu te reconnais dans ce profil ? Alors n'attends plus, et postule dès maintenant sur***"
"Assistant / Assistante technique d'ingénieur / d'ingénieure en études, recherche et développement en industrie (H/F)","44 - ORVAULT","44700","H1206","CDD","Annuel de 30000,00 Euros à 32000,00 Euros","N/A","Expérience exigée de 3 An(s)","N/A","Description du poste : Au sein de la direction Programmes-projets, vos missions consistent à accompagner les chefs de projets pour garantir le suivi optimal des dossiers clients, veiller à la satisfaction client, au respect de la conformité des produits, des délais et de l'application des tarifs en vigueur. A ce titre, vous analysez les demandes reçues des clients et les conseiller dans le respect des exigences internes et contractuelles, vous effectuez l'ensemble du suivi administratif, y compris les devis, les commandes et les facturations, vous tenez à jour le reporting interne et le reporting client. De plus vous êtes l'interface avec les usines de production pour suivre les délais de production et coordonner la logistique des expéditions à l'international. Enfin, vous organisez avec les filiales et partenaires européens toutes les prestations de services depuis la visite de site jusqu'à l'installation des enseignes. Ce poste basé à Orvault est à pourvoir immédiatement dans le cadre d'une opportunité de poste en CDD évolutive. La rémunération annuelle brute est sur 12 mois. l'horaire hebdomadaire de travail est de 37H avec RTT. Description du profil : De formation Bac+2, vous justifiez d'une expérience de 3 années minimum acquises à un poste similaire. La maîtrise de l'anglais écrit et oral requise. Le poste nécessite une pratique de plusieurs années en Administration des ventes/ Gestion de projet. La rigueur, l'organisation et la communication sont des qualités indispensables pour mener à bien"
"Assistant / Assistante technique d'ingénieur / d'ingénieure en études, recherche et développement en industrie (H/F)","67 - SAVERNE","67700","H1206","CDI","N/A","N/A","Expérience exigée de 3 An(s)","N/A","Description du poste : LHH Recruitment Solutions, cabinet de conseil en recrutement, travail temporaire spécialisé, gestion de transition et évaluation d'experts, cadres et dirigeants, recherche pour son client, spécialisé dans la vente et l'installation de composants électriques pour l'industrie, un(e) Assistant(e) Technique H/F. Descriptif du poste : Dans le cadre d'une création de poste et rattaché(e) au Responsable Pôle Technique, vos missions seront les suivantes : - Analyser techniquement les dossiers lors de leur réception ; - Rédiger les dossiers techniques ainsi que les notices d'installation ; - Assurer le suivi des dossiers et veiller à leur conformité ; - Être l'interlocuteur(rice) des clients pour expliquer les produits et les conseiller ; - Accompagner l'équipe dans l'intégration de nouvelles références ; - Mettre à jour le catalogue des nouvelles références. Description du profil : Profil recherché : Titulaire d'un diplôme de type BTS dans le domaine administratif ou équivalent, vous justifiez d'une expérience de 3 à 5 ans dans les secteurs du bureau d'études, de la maîtrise d'ouvrage ou équivalent. Vous êtes de nature curieuse et appréciez les environnements techniques. Doté(e) d'un esprit d'analyse et de synthèse, vous faites preuve de rigueur et d'organisation. Vous aimez travailler en équipe et êtes ouvert(e) à quelques déplacements dans l'année chez les clients. En contact régulier avec les clients, vous possédez de solides qualités rédactionnelles. La maîtrise de l'anglais et/ou de l'allemand serait un atout pour ce poste, en raison des enjeux internationaux du groupe. Pourquoi nous rejoindre ? Si vous souhaitez intégrer une société à taille humaine, leader dans son domaine, n'hésitez pas à postuler ! Pour faire la différence :***"
"Assistant / Assistante technique d'ingénieur / d'ingénieure en études, recherche et développement en industrie (H/F)","36 - CHATEAUROUX","36000","H1206","MIS","Mensuel de 1764,00 Euros","N/A","Débutant accepté","N/A","Description du poste : Missions : Notes de frais : Vérification pour validation des notes de frais des techniciens en itinérance Préparation avant intervention : Envoi + suivi et traitement des fiches conformité des sites clients avant intervention Selon retour des fiches, validation de la faisabilité des interventions au service planning Echanges mails/téléphone avec clients pour préparation des missions Tenir le tableau de préparation des missions en permanence à jour en fonction des retours et mouvements planning Traitement des plans de prévention Validation des interventions : Validation des missions aux techniciens Envoi des documents aux techniciens + préparation accueil sécurité + préparation de dossiers pour certains sites + plan de prévention nominatif Réservation des déplacements Validation des missions aux clients Gestion des appels téléphoniques : Gérer les appels entrant avec l'équipe, les techniciens, les clients internes et externes Classement/archivage : Ranger tous échanges internes/externes dans les dossiers machines Description du profil : Vous devez être titulaire d'un Bac+2 et avoir au moins 3 mois d'expérience. Profil : Contrat 35h + 5h supp pour 40h Taux horaires : 12 Horaires : 8h-12h 13h-17h du lundi au vendredi"
"Assistant / Assistante technique d'ingénieur / d'ingénieure en études, recherche et développement en industrie (H/F)","91 - LISSES","91090","H1206","MIS","Annuel de 33000,00 Euros à 35000,00 Euros","N/A","Expérience exigée de 3 An(s)","N/A","Description du poste : Rattaché(e) au Chef de Secteur, vous gérez le suivi administratif de plusieurs chantiers sur un secteur géographique et vous êtes l'interlocuteur(trice) des collaborateurs de votre secteur. Vos missions sont : - Gestion des plannings, - Gestion des absences, - Relais avec le service paie, - Gestion des mutations, - Gestion de demandes d'acomptes, - Suivi des demandes de formation, - Suivi des congés, - Gestion des notes de frais, - Remise du matériel aux nouveaux collaborateurs. Horaires : 8h30 - 17h30, 1h30 de pause déjeuner Salaire : entre 33 K€ et 35 K€ sur 13 mois Description du profil : Titulaire d'un BAC + 2 en assistanat, vous avez une expérience sur un poste similaire acquise dans le domaine du BTP. Vous maîtrisez le Pack Office."
"Assistant / Assistante technique d'ingénieur / d'ingénieure en études, recherche et développement en industrie (H/F)","95 - ERAGNY","95610","H1206","CDI","N/A","N/A","Débutant accepté","N/A","Description du poste : Plongez au cœur des technologies de navigation de pointe ! Envie de mettre vos compétences techniques au service de systèmes innovants et d'interagir avec des clients prestigieux en France et à l'international¿? Rejoignez le Centre de Soutien Technique Drones de Safran Electronics & Defense et contribuez à la performance des systèmes de navigation les plus avancés. Vos missions : En tant qu'Assistant·e Technique Systèmes de Navigation, vous serez chargé·e de¿: -Mettre en service et valider nos systèmes de navigation intégrant des centrales inertielles de haute technologie (gyrolasers, GRH). -Assurer le dépannage de ces systèmes et des bancs de maintenance associés, en France et à l'étranger. -Réaliser des expertises techniques et proposer des solutions correctives adaptées. -Participer à l'intégration et validation des systèmes dans nos locaux avant leur déploiement. -Former nos clients sur l'utilisation et la maintenance des équipements. -Rédiger des rapports techniques (compte-rendus d'intervention, fiches d'évènements techniques). -Fournir un soutien Helpdesk réactif et efficace. Ces missions vous amèneront à travailler en étroite collaboration avec les équipes de développement, de production, et de documentation, dans un environnement normatif exigeant lié aux marines et armées de terre du monde entier. Pourquoi choisir ce poste¿? -Des projets d'envergure internationale : Participez à l'installation et au dépannage de systèmes intégrant des technologies de navigation inertielle haut de gamme. -Une expertise technologique reconnue : Travaillez sur des solutions de pointe, de la validation à l'accompagnement client. -Une dimension humaine : Formez et soutenez nos utilisateurs grâce à vos compétences techniques et votre sens du service. -Un cadre unique : Profitez d'un site moderne et convivial à 20 min de Paris, avec des espaces de détente et des infrastructures sportives à proximité. Ce que Safran vous offre -Un environnement stimulant : Rejoignez un site de 1 300 collaborateurs dédiés à des projets technologiques d'exception. -Une expertise reconnue : Bénéficiez d'un cadre structuré et innovant pour développer vos compétences. -Un cadre international : Collaborez avec des acteurs variés à travers le monde, tout en travaillant sur des technologies stratégiques. Description du profil : Ce que nous recherchons chez vous : -Une expérience ou des compétences en maintenance électronique, avec une curiosité pour les systèmes complexes. -Un excellent relationnel et le sens du service client. -Une bonne maîtrise des outils bureautiques. -Une capacité à voyager plusieurs semaines, en France et à l'international, pour accompagner nos clients."
"Chef(fe) de projet bureau d'Etudes CVC H/F","29 - PLABENNEC","29860","H1102","CDI","Annuel de","N/A","Expérience exigée de 3 An(s)","N/A","Afin de renforcer l'équipe, nous recherchons un(e) Chef(fe) de Projet Bureau d'Etudes H/F qui rejoindra l'équipe R&amp;D et Essais. Votre rôle sera de piloter la démarche de développement et d'industrialisation des nouvelles solutions ou solutions déjà existantes et d'animer la démarche d'amélioration continue des gammes dont vous aurez la charge. Plus précisément vos principales missions seront de : Élaborer des études de faisabilité technique et budgétaires Etablir et mettre à dispositions tant pour l'interne que pour l'externe, les données et documents techniques Être l'interlocuteur technique privilégié de la production et des services concernés sur les gammes dont vous aurez la charge et informer votre hiérarchie sur les dérives constatées (suivis ratios, dérogations, qualité) Assurer la coordination et la supervision du travail des équipes mobilisées sur les projets dont vous aurez la charge Assurer la formation sur les évolutions et nouveaux produits et procédés Participer aux projets de l'entrepriseSavoir-faire :  Vous êtes issu(e) de formation supérieure à dominante technique ou industrielle dans le Génie Climatique Vous maitrisez des outils et méthodes de conception et d'industrialisation de produits industriel Vous maitrisez des méthodes et outils de pilotage de projet Vous maitrisez des méthodes et outils de résolution de problèmes Vous avez des connaissances et compréhension ERP et bases gestion industrielle Vous possédez un anglais professionnel Savoir-être : Vous aimez travailler dans des structures à taille humaine dans un environnement industriel Vous possédez une aisance en coordination équipe pluridisciplinaire et communication (interne et externe)"
"Assistant Comptable H/F","31 - BEAUZELLE","31700","M1605","CDI","Annuel de 25000,00 Euros à 30000,00 Euros","N/A","Expérience exigée de 3 An(s)","N/A","Sous l'autorité du Responsable Administratif et Financier et au sein d'une équipe de 3 personnes, vous réalisez les missions ci-dessous : -        Effectuer la saisie comptable avec affectation analytique (fournisseurs, clients, trésorerie et opérations diverses) ; -        Effectuer la comptabilisation des immobilisations ; -        Vérifier et comptabiliser les notes de frais ; -        Procéder aux règlements fournisseurs, aux rapprochements bancaires et au suivi de trésorerie ; -        Effectuer les facturations et refacturations ; -        Assurer le suivi des comptes fournisseurs et clients (justification, lettrage et relance) ; -        Mettre à jour les informations des tiers dans la base de données.Issu(e) d'une formation en comptabilité, vous justifiez d'une expérience d'au moins 2 années en comptabilité et vous maitrisez les clés et les outils de ce métier. Un parcours d'intégration vous permettra d'appréhender notre structure, nos modes de fonctionnement et nos process. Vous pensez que ce poste vous correspond ? Alors n'hésitez plus, rejoignez-nous et fabriquons ensemble l'Industrie du futur ! Conditions du poste : CDI Poste basé à Beauzelle (31), à pourvoir à compter du 6 janvier 2025 Temps plein de 37,5h/semaine avec 15,5 jours de RTT par an Salaire brut mensuel selon profil - sur 13 mois Mutuelle prise en charge à 100% par l'employeur Restaurant d'entreprise avec prise en charge partielle par l'employeur"
"CHEF DE PROJETS H/F","63 - CEBAZAT","63118","H1102","CDI","Annuel de 40000,00 Euros à 45000,00 Euros","N/A","Expérience exigée","N/A","Piloter toutes les phases du projet, du devis à la livraison en passant par le suivi de la conception, de la fabrication, de l'assemblage, des tests..   Planifier et coordonner les différentes phases du projet en s'adaptant aux imprévus.   Être l'interface de tous les intervenants internes et externes pour assurer la réussite des projets.   Anticiper et surmonter les difficultés de manière proactive et assurer une satisfaction client optimale.   Identifier les risques liés au projet et mettre en place des plans d'actions pour remédier aux risques.   Gérer le projet afin de respecter le budget, le planning et les différents objectifs de chaque affaire.   Assurer les reportings, la gestion documentaire et renseigner les indicateurs.Une expérience solide de minimum 5 ans en gestion de projets dans un secteur industriel. Un diplôme d'ingénieur en génie industriel, mécanique, électrique ou bien dans un domaine connexe. D'excellentes capacités d'organisation, de communication et de leadership. Une aptitude naturelle à gérer plusieurs projets simultanément. Vous êtes à l'aise avec les différents outils informatiques. Anglais opérationnel lu, parlé et écrit. Vous êtes en adéquation avec les valeurs d'ECDA : entraide, savoir-être, prise d'initiatives et de responsabilités, éthique professionnelle et sens du service client. À l'image de notre entreprise : vous êtes dynamique, curieux et force de proposition pour relever les défis du quotidien. Nous vous proposons : Poste au forfait jour, statut cadre, avantages CE, mutuelle familiale 100% employeur, télétravail possible (1 journée par semaine), etc."
"Chef de projet (H/F)","49 - BEAUCOUZE","49070","H1102","CDI","Annuel de","N/A","Expérience exigée de 3 An(s)","N/A","Rattaché(e) au directeur commercial, vous intégrez le service « Projets » composé de 12 personnes afin de prendre en charge la responsabilité de la conduite de plusieurs projets de conception et fabrication de machines de conditionnement en garantissant la conformité et la qualité de nos équipements. Interlocuteur(rice) privilégié(e) de nos clients pour les aspects techniques et logistiques vous assurez un suivi personnalisé de chaque projet de la conception à la mise en service chez le client. Vous travaillez en étroite collaboration avec le service commercial, les bureaux d'études et la production. A ce titre, vos principales missions sont les suivantes : -        Prendre connaissance des projets à mener (post-ventes) -        Organiser et structurer les différentes phases d'un projet -        Présenter les projets et leur suivi lors de réunions techniques -        Coordonner et mobiliser en interne les unités de conception, de production, les fonctions supports -        Valider le projet avec les services techniques de nos clients (implantation finale, planning,...) et les informer de l'évolution du projet -        S'assurer du respect des délais, de la qualité et de la conformité du cahier des charges -        Contrôler et optimiser les coûts de revient -        Préparer et animer les réceptions techniques à l'issue de la fabrication de la machine -        Assurer le suivi jusqu'à la mise en production de l'équipement.De formation Ingénieur généralise, vous avez su développer, lors d'une première expérience des compétences en gestion de projets, et en management fonctionnel d'équipe. Moteur et proactif(ve), très bon(ne) communiquant(e), rigoureux(se), pragmatique, vous êtes aussi reconnu pour votre leadership et votre charisme et vous avez envie d'exprimer vos talents et de vous dépasser sur des projets industriels complexes et à la pointe. Maîtrise de l'anglais impératif Déplacements en France et à l'étranger à prévoir.   Ce que nous vous proposons :  -          CDI forfait jour (218 j travaillés) + RTT -          Télétravail possible -          Jours fériés non travaillés -          Salaire à partir de 40 000 € brut annuel (salaire fixe + prime semestrielle)  -          Participation aux bénéfices   -          Prévoyance (prise en charge par l'employeur à + de 90 %) -          Mutuelle (prise en charge par l'employeur à 75 %) -          Accès transport en commun et parking gratuit -          Aide à la mobilité avec Action Logement -          Local équipé de frigos et micro-ondes pour se restaurer -          Poste de travail équipé de 2 écrans d'ordinateur pour plus d'ergonomie -          Evènements d'entreprise et CSE"
"CHEF DE PROJET - CHARGE D'AFFAIRES F/H H/F","13 - LAMANON","13113","H1102","CDI","Annuel de","N/A","Expérience exigée de 3 An(s)","N/A","Au sein du département Projets, vous coordonnez et formalisez l'offre technico-commerciale en support avec le responsable commercial et vous participez à la définition de la stratégie d'offre. Interlocuteur direct des clients, vous assurez le pilotage de vos projets, de la réception de la commande jusqu'à la fin de la prestation vendue. Pour ce faire, vos activités principales sont de : Participer au lancement technique et opérationnel des projets (rédaction du cahier des charges : définition de la structure, tâches principales, livrables et jalons contractuels, analyse de risque financière .) Assurer la gestion contractuelle de votre portefeuille de projets Organisation et pilotage des réunions de coordination, d'avancement du projet  Suivi des réclamations client Réalisation des avenants sur projet   Réaliser le reporting financier et veiller à la mise à jour des prévisions de revenus du projet, de facturation et des coûts estimés  Déclencher la clôture du projet après contrôle de la bonne réception de l'ensemble des preuves de livraison Contact privilégié du client, vous assurez l'interface avec les équipes opérationnelles tout au long de celui-ci.De formation technique, ingénieur ou équivalent, vous souhaitez vous investir dans un métier exigeant, riche et complexe et vous possédez de fortes capacités de travail dans un contexte multitâche. Le management fonctionnel d'équipes pluridisciplinaires et la maîtrise de la relation client en phase de gestion d'affaires vous passionnent et vous justifiez à minima d'une première expérience significative sur un poste similaire. Vous maitrisez l'anglais, ce qui vous permet d'évoluer dans un contexte d'affaires à l'international, de rédiger et de comprendre des documents en anglais, et d'être à l'aise dans les échanges à l'oral en Anglais. Rigoureux/se, méthodique &amp; organisé/ée, vous êtes reconnu/e pour votre aisance relationnelle, votre sens de l'écoute et votre forte capacité de communication (orale et rédactionnelle).   Le plus de votre profil : vous avez un fort esprit d'équipe et êtes force de propositions"
"CHEF DE PROJETS SENIOR COMPOSANT ACTIF & HYPERFREQUENCE F/H  (H/F)","91 - LES ULIS","91940","H1102","CDI","Annuel de 45000,00 Euros à 50000,00 Euros","N/A","Expérience exigée","N/A","Assurer l'interface avec les Clients. Leur proposer des solutions adaptées à leurs besoins, selon le savoir-faire et les capacités de production de l entreprise. Participer à l élaboration des offres puis suivre intégralement leurs projets dès réception de la commande, du lancement du projet jusqu'à la livraison des produits aux clients. Vos activités principales sont de : · Participer à l élaboration des offres en support du service Business Development. · Lancer organiser et piloter des projets en étroite collaboration avec le PA (Product Assurance) dans le respect des engagements client et des budgets (plan de charge, planning et facturation). · Coordonner les équipes en charge du design, purchasing, manufacturing, sous-traitants et fournisseurs. · Gérer et animer la relation client tout au long du projet (pilotage contractuel, commercial, gestion des livrables, revues de projets, satisfaction clients, risques et opportunités.De formation supérieure vous recherchez un poste de conduite de projets, d'animation d'équipes pluridisciplinaires dans le domaine des composants passifs hyperfréquence (produits ferrites) et des composants électroniques actifs. Vous disposez d'un sens du service et d'un relationnel aisé."
"Assistant service R&D et de recherche clinique (H/F)","22 - LANNION","22300","M1605","CDI","Annuel de","N/A","Expérience exigée de 3 An(s)","N/A","En tant qu'assistant(e) de recherche clinique:  Gestion administrative:  - Préparation et suivi des dossiers de soumission aux Autorités Compétentes et aux Comités d'Éthique (CNOM, CNIL, ClinicalTrial.Gov, EudraCT). - Organisation et mise à jour des classeurs investigateurs et des fichiers maîtres des essais (TMF et eTMF). - Gestion des documents relatifs aux essais avec des contrôles qualité réguliers. - Suivi budgétaire des essais, incluant la saisie des factures et la revue trimestrielle des budgets.   Soutien à l'Équipe de Projet : - Coordination et suivi des démarches administratives et réglementaires. - Gestion des évènements indésirables (déclaration et suivi).   CRA  - Suivi de inclusions et la planification du suivi des inclusions. - Contrôle de la sécurisation des patients, et alerte en cas de problème rencontré.  - Participation à la traçabilité de la dispensation des dispositifs médicaux et équipements utilisés au cours des investigations cliniques .  - Mise à jour  de l'Investigator Site File lors des visites sur site - Réalisation de visites de monitoring ( en qualité de CRA moniteur) ou de la saisie des données (CRAinvestigateur) selon le rôle attribué dans l'étude clinique.   En tant qu'assistant(e) de service R&amp;D : - Rédaction des supports de communication (reporting, rapports, formations.) - Organisation d'évènements internes et externes (formations, réunions, congrès) : inscriptions, transports, hébergements, locations de salles; - Mise en page documentaire (Word, Excel, Power Point) - Traduction de documents français / anglais - Gestion de commandes-        Bac + 2/+3, diplôme d'assistant de direction ou équivalent souhaité, -        Anglais professionnel courant -        Vous maitrisez Pack office (Outlook, Word, Excel, Power Point) -        Une expérience dans les études cliniques serait un plus (ARC, TEC) mais une formation aux spécificités du clinique sera faite en interne. -        Vous avez une forte habilité à l'organisation et à la rigueur avec une bonne capacité à travailler sur des sujets variés avec confidentialité, dynamisme et esprit d'initiative. -        Vous faites preuve d'esprit de synthèse et savez prioriser vos tâches. -        Expérience minimum de 3 ans"
